timestamp_ms,action,buy_venue,sell_venue,buy_price,sell_price,qty,fee,pnl_net,obi_delta,p_execute,expected_edge_at_signal,adverse_selection_cost,fill_time_mid_a,fill_time_mid_b,signal_time_mid_a,signal_time_mid_b,status,reason,buy_latency_ms,sell_latency_ms,buy_slippage,sell_slippage,regime_vol,regime_spread,split
1709326257111,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.8270646263834107,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,32.09118793726132,45.535877687498534,0.0,0.0,low,tight,train
1709326257151,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.9652792899279171,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,25.582032616770228,53.36671265329496,0.0,0.0,low,tight,train
1709326257170,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.9652886569135327,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,25.341467004326127,45.47378117834383,0.0,0.0,low,tight,train
1709326257174,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.9652779166909559,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,75.49058007609464,18.60003722887444,0.0,0.0,low,tight,train
1709326257190,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.9284091929514793,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,47.49477852199541,81.7817967838688,0.0,0.0,low,tight,train
1709326257194,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.9652806927520606,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,43.326226583785804,48.60594636921588,0.0,0.0,low,tight,train
1709326257251,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-1.0271189937020282,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,53.79760701970402,50.47116033809077,0.0,0.0,low,tight,train
1709326257290,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.9902461358366654,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,41.904966241895224,22.617142385719227,0.0,0.0,low,tight,train
1709326257294,BUY_A_SELL_B,binance,kraken,62482.23,62551.4,0.01,0.62516815,0.06653184999998252,-0.8831823902250393,0.8485084960383921,0.6916999999999826,0.0,62482.225000000006,62551.45,62482.225000000006,62551.45,filled,,47.16447637902971,32.3757270662082,0.0,0.0,low,tight,train
1709326257351,BUY_A_SELL_B,binance,kraken,62476.09,62551.4,0.01,0.62513745,0.12796255000004952,-0.8859491514981768,0.8485084960383921,0.6916999999999826,-0.06140000000006696,62474.67999999999,62551.45,62482.225000000006,62551.45,filled,,45.51596127627662,67.48596961137913,6.140000000006694,0.0,low,tight,train
